full_name,rank,type,abbr
Asian Journal of Law and Society,4,CAS,
Asian Journal of Management Cases,4,CAS,
Asian Journal of Mathematics,4,CAS,
Asian Journal of Middle Eastern and Islamic Studies,4,CAS,
Asian Journal of Organic Chemistry,3,CAS,
Asian Journal of Pharmaceutical Research and Health Care,4,CAS,
Asian Journal of Pharmaceutical Sciences,1,CAS,
Asian Journal of Pharmaceutics,4,CAS,
Asian Journal of Political Science,4,CAS,
Asian Journal of Psychiatry,3,CAS,
Asian Journal of Shipping and Logistics,3,CAS,
Asian Journal of Social Health and Behavior,2,CAS,
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,3,CAS,
Asian Journal of Social Science,4,CAS,
Asian Journal of Surgery,3,CAS,
Asian Journal of Technology Innovation,4,CAS,
Asian Journal of Transfusion Science,4,CAS,
Asian Journal of Urology,3,CAS,
Asian Journal of Water Environment and Pollution,4,CAS,
ASIAN JOURNAL OF WOMENS STUDIES,4,CAS,
Asian Journal of WTO & International Health Law and Policy,4,CAS,
ASIAN MUSIC,2,CAS,
Asian Myrmecology,3,CAS,
Asian Nursing Research,4,CAS,
Asian Oncology Nursing,4,CAS,
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,4,CAS,
Asian Pacific Journal of Reproduction,4,CAS,
Asian Pacific Journal of Tropical Biomedicine,4,CAS,
Asian Pacific Journal of Tropical Medicine,4,CAS,
Asian Perspective,3,CAS,
Asian Perspectives-The Journal of Archaeology for Asia and the Pacific,4,CAS,
ASIAN PHILOSOPHY,3,CAS,
Asian Politics & Policy,4,CAS,
Asian Population Studies,3,CAS,
Asian Review of Accounting,4,CAS,
Asian Review of World Histories,4,CAS,
Asian Social Work and Policy Review,4,CAS,
Asian Spine Journal,3,CAS,
Asian Studies Review,3,CAS,
Asian Studies-Azijske Studije,4,CAS,
ASIAN SURVEY,3,CAS,
ASIAN THEATRE JOURNAL,2,CAS,
Asian Women,4,CAS,
Asian-European Journal of Mathematics,4,CAS,
Asian-Pacific Economic Literature,4,CAS,
Asian-Pacific Journal of Second and Foreign Language Education,3,CAS,
ASIANetwork Exchange-A Journal for Asian Studies in the Liberal Arts,4,CAS,
Asiascape-Digital Asia,3,CAS,
Asiatic-IIUM Journal of English Language and Literature,4,CAS,
Aslib Journal of Information Management,4,CAS,
ASME Journal of Heat and Mass Transfer,4,CAS,
ASN Neuro,4,CAS,
Aspasia,4,CAS,
ASR Chiang Mai University Journal of Social Sciences and Humanities,4,CAS,
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,4,CAS,
Assessing Writing,1,CAS,
Assessment & Evaluation in Higher Education,2,CAS,
ASSESSMENT FOR EFFECTIVE INTERVENTION,4,CAS,
Assessment in Education-Principles Policy & Practice,2,CAS,
ASSESSMENT,2,CAS,
Assistenza Infermieristica e Ricerca,4,CAS,
ASSISTIVE TECHNOLOGY,4,CAS,
AStA-Advances in Statistical Analysis,4,CAS,
Asterion-Philosophie Histoire des Idees Pensee Politique,4,CAS,
ASTERISQUE,4,CAS,
Asthma Allergy Immunology,4,CAS,
Astin Bulletin-The Journal of the International Actuarial Association,3,CAS,
ASTROBIOLOGY,2,CAS,
Astrodynamics,2,CAS,
Astrolabio-Nueva Epoca,4,CAS,
ASTRONOMICAL JOURNAL,2,CAS,
ASTRONOMISCHE NACHRICHTEN,4,CAS,
ASTRONOMY & ASTROPHYSICS,2,CAS,
ASTRONOMY & GEOPHYSICS,4,CAS,
ASTRONOMY AND ASTROPHYSICS REVIEW,1,CAS,
Astronomy and Computing,4,CAS,
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,4,CAS,
ASTRONOMY REPORTS,4,CAS,
ASTROPARTICLE PHYSICS,3,CAS,
Astrophysical Bulletin,4,CAS,
Astrophysical Journal Letters,1,CAS,
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,2,CAS,
ASTROPHYSICAL JOURNAL,2,CAS,
ASTROPHYSICS AND SPACE SCIENCE,4,CAS,
ASTROPHYSICS,4,CAS,
ASYMPTOTIC ANALYSIS,4,CAS,
AT-Automatisierungstechnik,4,CAS,
Atalanta-Revista de las Letras Barrocas,3,CAS,
Atalante-Revista de Estudios Cinematograficos,4,CAS,
Atelie Geografico,4,CAS,
Atelier du Centre de Recherches Historiques,4,CAS,
Atelier,4,CAS,
Ateliers de l Ethique-The Ethics Forum,4,CAS,
Atenas,4,CAS,
Atencion Primaria,4,CAS,
Atenea,4,CAS,
ATHENAEUM-STUDI PERIODICI DI LETTERATURA E STORIA DELL ANTICHITA,4,CAS,
Athenea Digital,4,CAS,
Atherosclerosis Plus,4,CAS,
ATHEROSCLEROSIS,2,CAS,
ATLA-ALTERNATIVES TO LABORATORY ANIMALS,4,CAS,
ATLANTIC ECONOMIC JOURNAL,4,CAS,
ATLANTIC GEOLOGY,4,CAS,
Atlantic Journal of Communication,4,CAS,
Atlantic Law Journal,4,CAS,
Atlantic Studies-Global Currents,3,CAS,
Atlantis-Critical Studies in Gender Culture & Social Justice,4,CAS,
Atlantis-Journal of the Spanish Association of Anglo-American Studies,3,CAS,
ATMOSFERA,4,CAS,
Atmosphere-Korea,4,CAS,
ATMOSPHERE-OCEAN,4,CAS,
Atmosphere,4,CAS,
Atmospheric and Oceanic Optics,4,CAS,
Atmospheric and Oceanic Science Letters,2,CAS,
ATMOSPHERIC CHEMISTRY AND PHYSICS,1,CAS,
Atmospheric Environment-X,3,CAS,
ATMOSPHERIC ENVIRONMENT,3,CAS,
Atmospheric Measurement Techniques,3,CAS,
Atmospheric Pollution Research,3,CAS,
Atmospheric Research,2,CAS,
Atmospheric Science Letters,4,CAS,
ATOM INDONESIA,4,CAS,
ATOMIC DATA AND NUCLEAR DATA TABLES,2,CAS,
ATOMIC ENERGY,4,CAS,
ATOMIC SPECTROSCOPY,2,CAS,
ATOMIZATION AND SPRAYS,4,CAS,
Atoms,3,CAS,
AtoZ-Novas Praticas em Informacao e Conhecimento,4,CAS,
ATP Magazine,4,CAS,
ATS Scholar,4,CAS,
ATTACHMENT & HUMAN DEVELOPMENT,2,CAS,
Attention Perception & Psychophysics,3,CAS,
Atti Accademia Peloritana dei Pericolanti-Classe di Scienze Fisiche Matematiche e Naturali,4,CAS,
ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,4,CAS,
AUC Geographica,4,CAS,
Audiology and Neurotology,4,CAS,
Audiology Research,3,CAS,
AUDITING-A JOURNAL OF PRACTICE & THEORY,3,CAS,
Auditory and Vestibular Research,4,CAS,
Aufklarung-Revista de Filosofia,4,CAS,
Augenheilkunde Up2date,4,CAS,
Augmentative and Alternative Communication,2,CAS,
Augustinian Studies,4,CAS,
Aula Abierta,4,CAS,
Aula de Encuentro,4,CAS,
Aula Orientalis,4,CAS,
AURIS NASUS LARYNX,4,CAS,
AusArt,4,CAS,
Auster,4,CAS,
Austral Comunicacion,4,CAS,
AUSTRAL ECOLOGY,4,CAS,
Austral Entomology,3,CAS,
AUSTRAL JOURNAL OF VETERINARY SCIENCES,4,CAS,
Australasian Accounting Business and Finance Journal,4,CAS,
Australasian Agribusiness Review,4,CAS,
Australasian Catholic Record,4,CAS,
Australasian Dispute Resolution Journal,4,CAS,
Australasian Drama Studies,4,CAS,
Australasian Emergency Care,3,CAS,
Australasian Journal of Combinatorics,4,CAS,
AUSTRALASIAN JOURNAL OF DERMATOLOGY,4,CAS,
Australasian Journal of Early Childhood,4,CAS,
Australasian Journal of Educational Technology,3,CAS,
Australasian Journal of Environmental Management,4,CAS,
Australasian Journal of Information Systems,4,CAS,
Australasian Journal of Logic,3,CAS,
AUSTRALASIAN JOURNAL OF PHILOSOPHY,1,CAS,
Australasian Journal of Special and Inclusive Education,4,CAS,
Australasian Journal of Water Resources,3,CAS,
AUSTRALASIAN JOURNAL ON AGEING,4,CAS,
Australasian Marketing Journal,4,CAS,
Australasian Orthodontic Journal,4,CAS,
AUSTRALASIAN PARLIAMENTARY REVIEW,4,CAS,
Australasian Plant Disease Notes,4,CAS,
AUSTRALASIAN PLANT PATHOLOGY,4,CAS,
Australasian Psychiatry,4,CAS,
AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,4,CAS,
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,4,CAS,
Australian Accounting Review,3,CAS,
Australian and New Zealand Journal of Art,3,CAS,
Australian and New Zealand Journal of Family Therapy,4,CAS,
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,3,CAS,
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,3,CAS,
AUSTRALIAN ARCHAEOLOGY,2,CAS,
AUSTRALIAN BUSINESS LAW REVIEW,4,CAS,
Australian Critical Care,3,CAS,
AUSTRALIAN DENTAL JOURNAL,3,CAS,
AUSTRALIAN ECONOMIC PAPERS,4,CAS,
Australian Economic Review,4,CAS,
AUSTRALIAN EDUCATIONAL RESEARCHER,3,CAS,
Australian Endodontic Journal,4,CAS,
Australian Feminist Law Journal,3,CAS,
AUSTRALIAN FEMINIST STUDIES,3,CAS,
AUSTRALIAN FORESTRY,4,CAS,
AUSTRALIAN GEOGRAPHER,3,CAS,
Australian Geomechanics Journal,4,CAS,
Australian Health Review,4,CAS,
AUSTRALIAN HISTORICAL STUDIES,3,CAS,
Australian Humanities Review,4,CAS,
Australian Intellectual Property Journal,4,CAS,
Australian Journal of Administrative Law,3,CAS,
Australian Journal of Adult Learning,4,CAS,
Australian Journal of Advanced Nursing,4,CAS,
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,3,CAS,
Australian Journal of Anthropology,3,CAS,
AUSTRALIAN JOURNAL OF BOTANY,4,CAS,
Australian Journal of Career Development,4,CAS,
AUSTRALIAN JOURNAL OF CHEMISTRY,4,CAS,
Australian Journal of Civil Engineering,4,CAS,
Australian Journal of Competition and Consumer Law,4,CAS,
AUSTRALIAN JOURNAL OF EARTH SCIENCES,4,CAS,
AUSTRALIAN JOURNAL OF EDUCATION,4,CAS,
Australian Journal of Emergency Management,4,CAS,
Australian Journal of Environmental Education,4,CAS,
Australian Journal of Forensic Sciences,4,CAS,
AUSTRALIAN JOURNAL OF FRENCH STUDIES,4,CAS,
Australian Journal of General Practice,4,CAS,
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,3,CAS,
Australian Journal of Indigenous Education,4,CAS,
AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,2,CAS,
Australian Journal of Language and Literacy,4,CAS,
Australian Journal of Learning Difficulties,4,CAS,
Australian Journal of Linguistics,3,CAS,
AUSTRALIAN JOURNAL OF MANAGEMENT,4,CAS,
Australian Journal of Mechanical Engineering,4,CAS,
Australian Journal of Otolaryngology,4,CAS,
AUSTRALIAN JOURNAL OF POLITICAL SCIENCE,3,CAS,
AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,4,CAS,
Australian Journal of Primary Health,4,CAS,
AUSTRALIAN JOURNAL OF PSYCHOLOGY,3,CAS,
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,4,CAS,
Australian Journal of Rural Health,4,CAS,
AUSTRALIAN JOURNAL OF SOCIAL ISSUES,3,CAS,
Australian Journal of Structural Engineering,4,CAS,
Australian Journal of Teacher Education,4,CAS,
AUSTRALIAN JOURNAL OF ZOOLOGY,4,CAS,
Australian Journalism Review,3,CAS,
AUSTRALIAN LAW JOURNAL,4,CAS,
AUSTRALIAN LITERARY STUDIES,4,CAS,
AUSTRALIAN MAMMALOGY,4,CAS,
Australian Occupational Therapy Journal,4,CAS,
Australian Prescriber,2,CAS,
AUSTRALIAN PSYCHOLOGIST,3,CAS,
Australian Review of Applied Linguistics,3,CAS,
Australian Social Work,4,CAS,
AUSTRALIAN SYSTEMATIC BOTANY,3,CAS,
AUSTRALIAN TAX REVIEW,4,CAS,
Australian Universities Review,4,CAS,
AUSTRALIAN VETERINARY JOURNAL,3,CAS,
Austrian History Yearbook,3,CAS,
Austrian Journal of Clinical Endocrinology and Metabolism,4,CAS,
Austrian Journal of Earth Sciences,4,CAS,
Austrian Journal of Forest Science,4,CAS,
Austrian Journal of Political Science,4,CAS,
Austrian Journal of Statistics,4,CAS,
Austrian Studies,4,CAS,
AUT AUT,4,CAS,
Autex Research Journal,4,CAS,
Autism & Developmental Language Impairments,2,CAS,
Autism in Adulthood,1,CAS,
Autism Research,2,CAS,
AUTISM,1,CAS,
AUTOIMMUNITY REVIEWS,1,CAS,
AUTOIMMUNITY,3,CAS,
Automated Software Engineering,4,CAS,
AUTOMATIC CONTROL AND COMPUTER SCIENCES,4,CAS,
AUTOMATIC DOCUMENTATION AND MATHEMATICAL LINGUISTICS,4,CAS,
AUTOMATICA,2,CAS,
Automatika,4,CAS,
AUTOMATION AND REMOTE CONTROL,4,CAS,
AUTOMATION IN CONSTRUCTION,1,CAS,
Automotive Innovation,2,CAS,
AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL,3,CAS,
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,3,CAS,
AUTONOMOUS ROBOTS,3,CAS,
Autophagy,1,CAS,
Avances de Investigacion en Educacion Matematica,4,CAS,
Avances del Cesor,4,CAS,
Avances en Biomedicina,4,CAS,
Avances en Ciencias e Ingenieria,4,CAS,
Avances en Psicologia Latinoamericana,4,CAS,
Avances,4,CAS,
AVANT SCENE OPERA,4,CAS,
Avant,4,CAS,
Avian Biology Research,4,CAS,
Avian Conservation and Ecology,4,CAS,
AVIAN DISEASES,4,CAS,
AVIAN PATHOLOGY,3,CAS,
Avian Research,1,CAS,
Aviation,4,CAS,
Avicenna Journal of Phytomedicine,4,CAS,
Avicenna,3,CAS,
AVS Quantum Science,3,CAS,
AWWA Water Science,4,CAS,
Axioms,3,CAS,
Ayer,4,CAS,
Azania-Archaeological Research in Africa,2,CAS,
Azerbaijan Journal of Mathematics,4,CAS,
B E Journal of Economic Analysis & Policy,4,CAS,
B E Journal of Macroeconomics,4,CAS,
B E Journal of Theoretical Economics,4,CAS,
B-ENT,4,CAS,
Babel-Litteratures Plurielles,4,CAS,
Babel-Revue Internationale de la Traduction-International Journal of Translation,3,CAS,
BACH,3,CAS,
Bagh-e Nazar,4,CAS,
Baghdad Science Journal,4,CAS,
Bahrain Medical Bulletin,4,CAS,
Bajo Palabra-Journal of Philosophy,4,CAS,
Balcanica,4,CAS,
Bali Medical Journal,4,CAS,
Balint-Journal,4,CAS,
Balkan Arastrma Enstitusu Dergisi-Journal of Balkan Research Institute-JBRI,4,CAS,
Balkan Journal of Medical Genetics,4,CAS,
Balkan Journal of Philosophy,4,CAS,
Balkan Medical Journal,4,CAS,
Balkanistic Forum,4,CAS,
Balneo and PRM Research Journal,4,CAS,
BALTIC FORESTRY,4,CAS,
Baltic Journal of Art History,3,CAS,
Baltic Journal of Economic Studies,4,CAS,
Baltic Journal of Economics,3,CAS,
Baltic Journal of English Language Literature and Culture,3,CAS,
Baltic Journal of Health and Physical Activity,4,CAS,
Baltic Journal of Management,4,CAS,
Baltic Journal of Modern Computing,4,CAS,
Baltic Journal of Road and Bridge Engineering,4,CAS,
Baltic Region,4,CAS,
Baltica,4,CAS,
Bamboo and Silk,4,CAS,
Banach Journal of Mathematical Analysis,2,CAS,
BANGLADESH JOURNAL OF BOTANY,4,CAS,
Bangladesh Journal of Medical Science,4,CAS,
Bangladesh Journal of Otorhinolaryngology,4,CAS,
Bangladesh Journal of Pharmacology,4,CAS,
Bangladesh Journal of Plant Taxonomy,4,CAS,
Barataria-Revista Castellano-Manchega de Ciencias Sociales,4,CAS,
Bariatric Surgical Practice and Patient Care,4,CAS,
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,4,CAS,
BASIC AND APPLIED ECOLOGY,2,CAS,
BASIC AND APPLIED SOCIAL PSYCHOLOGY,4,CAS,
Basic and Clinical Andrology,3,CAS,
Basic and Clinical Neuroscience,4,CAS,
Basic Income Studies,4,CAS,
BASIC RESEARCH IN CARDIOLOGY,1,CAS,
BASIN RESEARCH,2,CAS,
Batteries & Supercaps,4,CAS,
Batteries-Basel,4,CAS,
Battery Energy,3,CAS,
Bauingenieur,4,CAS,
Bauphysik,4,CAS,
Bautechnik,4,CAS,
Bayesian Analysis,1,CAS,
BDJ Open,2,CAS,
Behavior Analysis in Practice,3,CAS,
Behavior and Social Issues,3,CAS,
BEHAVIOR GENETICS,3,CAS,
BEHAVIOR MODIFICATION,3,CAS,
Behavior Research Methods,2,CAS,
BEHAVIOR THERAPY,2,CAS,
Behavioral and Brain Functions,2,CAS,
BEHAVIORAL AND BRAIN SCIENCES,1,CAS,
BEHAVIORAL DISORDERS,3,CAS,
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2,CAS,
BEHAVIORAL ECOLOGY,2,CAS,
BEHAVIORAL INTERVENTIONS,4,CAS,
BEHAVIORAL MEDICINE,4,CAS,
BEHAVIORAL NEUROSCIENCE,4,CAS,
Behavioral Psychology-Psicologia Conductual,4,CAS,
Behavioral Research in Accounting,4,CAS,
BEHAVIORAL SCIENCES & THE LAW,4,CAS,
Behavioral Sciences of Terrorism and Political Aggression,3,CAS,
Behavioral Sciences,3,CAS,
Behavioral Sleep Medicine,4,CAS,
BEHAVIOUR & INFORMATION TECHNOLOGY,4,CAS,
BEHAVIOUR RESEARCH AND THERAPY,1,CAS,
BEHAVIOUR,4,CAS,
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,3,CAS,
BEHAVIOURAL BRAIN RESEARCH,3,CAS,
BEHAVIOURAL NEUROLOGY,4,CAS,
BEHAVIOURAL PHARMACOLOGY,4,CAS,
Behavioural Processes,4,CAS,
Behavioural Public Policy,2,CAS,
Beilstein Journal of Nanotechnology,4,CAS,
Beilstein Journal of Organic Chemistry,4,CAS,
Beitrage zur Algebra und Geometrie-Contributions to Algebra and Geometry,4,CAS,
BEITRAGE ZUR GESCHICHTE DER DEUTSCHEN SPRACHE UND LITERATUR,3,CAS,
BELGIAN JOURNAL OF ZOOLOGY,4,CAS,
Belitung Nursing Journal,4,CAS,
Belleten,4,CAS,
Belphegor,4,CAS,
Ben Jonson Journal,3,CAS,
Benchmarking-An International Journal,3,CAS,
Beneficial Microbes,4,CAS,
Beni-Suef University Journal of Basic and Applied Sciences,4,CAS,
Bereavement-Journal of Grief and Responses to Death,3,CAS,
BERICHTE UBER LANDWIRTSCHAFT,4,CAS,
Berichte zur Wissenschaftsgeschichte,2,CAS,
Berkeley Review of Education,4,CAS,
BERLINER JOURNAL FUR SOZIOLOGIE,4,CAS,
BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,4,CAS,
BERNOULLI,2,CAS,
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,2,CAS,
Best Practice & Research Clinical Gastroenterology,2,CAS,
BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY,4,CAS,
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY,2,CAS,
BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,2,CAS,
Best Practice & Research-Clinical Anaesthesiology,2,CAS,
Beton- und Stahlbetonbau,4,CAS,
BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS,4,CAS,
Beverages,3,CAS,
Bewegungstherapie und Gesundheitssport,4,CAS,
Beyond Behavior,4,CAS,
Beytulhikme-An International Journal of Philosophy,4,CAS,
Bezmialem Science,4,CAS,
Bible Translator,4,CAS,
BIBLICA,3,CAS,
Biblical Annals,3,CAS,
Biblical Interpretation-A Journal of Contemporary Approaches,3,CAS,
Biblical Theology Bulletin,4,CAS,
Biblio 3W-Barcelona,4,CAS,
Bibliofilia,3,CAS,
Biblios-Revista de Bibliotecologia y Ciencias de la Informacion,4,CAS,
Bibliotecas-Anales de Investigacion,4,CAS,
Bibliotecas-Revista de la Escuela de Bibliotecologia Documentacion e Informacion,4,CAS,
Bibliothek Forschung und Praxis,4,CAS,
BIBLIOTHEQUE D HUMANISME ET RENAISSANCE,3,CAS,
BIBLISCHE ZEITSCHRIFT,3,CAS,
Biblos-Revista da Faculdade de Letras da Universidade de Coimbra,4,CAS,
BiD-Textos Universitaris de Biblioteconomia i Documentacio,4,CAS,
Big Data & Society,1,CAS,
Big Data and Cognitive Computing,3,CAS,
Big Data Mining and Analytics,1,CAS,
Big Data Research,3,CAS,
Big Data,4,CAS,
Big Earth Data,1,CAS,
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,4,CAS,
Bilig,4,CAS,
Bilimname,4,CAS,
Bilingual Research Journal,2,CAS,
Bilingualism-Language and Cognition,2,CAS,
Bio-Algorithms and Med-Systems,4,CAS,
Bio-based and Applied Economics,4,CAS,
Bio-Design and Manufacturing,1,CAS,
BIO-MEDICAL MATERIALS AND ENGINEERING,4,CAS,
Bio-protocol,4,CAS,
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,4,CAS,
Bioactive Materials,1,CAS,
Bioagro,4,CAS,
Bioanalysis,4,CAS,
Biocatalysis and Agricultural Biotechnology,3,CAS,
BIOCATALYSIS AND BIOTRANSFORMATION,4,CAS,
BIOCELL,4,CAS,
Biochar,1,CAS,
Biochemia Medica,4,CAS,
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,CAS,
Biochemical Engineering Journal,3,CAS,
BIOCHEMICAL GENETICS,4,CAS,
BIOCHEMICAL JOURNAL,3,CAS,
BIOCHEMICAL PHARMACOLOGY,2,CAS,
BIOCHEMICAL SOCIETY TRANSACTIONS,2,CAS,
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,4,CAS,
Biochemistry and Biophysics Reports,4,CAS,
Biochemistry and Cell Biology,4,CAS,
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,4,CAS,
Biochemistry Moscow Supplement Series A-Membrane and Cell Biology,4,CAS,
Biochemistry Moscow-Supplement Series B-Biomedical Chemistry,4,CAS,
Biochemistry Research International,3,CAS,
BIOCHEMISTRY-MOSCOW,4,CAS,
BIOCHEMISTRY,3,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,3,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,3,CAS,
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,3,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,3,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,2,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,2,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,3,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,4,CAS,
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,2,CAS,
BIOCHIMIE,3,CAS,
BioChip Journal,2,CAS,
BIOCONJUGATE CHEMISTRY,2,CAS,
BIOCONTROL SCIENCE AND TECHNOLOGY,3,CAS,
BIOCONTROL,2,CAS,
Biocybernetics and Biomedical Engineering,2,CAS,
BioData Mining,3,CAS,
BIODEGRADATION,4,CAS,
Biodemography and Social Biology,4,CAS,
BIODIVERSITY AND CONSERVATION,2,CAS,
Biodiversity Data Journal,4,CAS,
Biodiversity Informatics,3,CAS,
BIODRUGS,2,CAS,
Bioelectricity,4,CAS,
BIOELECTROCHEMISTRY,2,CAS,
BIOELECTROMAGNETICS,3,CAS,
BioEnergy Research,4,CAS,
Bioengineered,4,CAS,
Bioengineering & Translational Medicine,2,CAS,
Bioengineering-Basel,3,CAS,
BIOESSAYS,3,CAS,
BIOETHICS,3,CAS,
Biofabrication,2,CAS,
BIOFACTORS,3,CAS,
Biofilm,2,CAS,
BIOFOULING,3,CAS,
Biofuel Research Journal-BRJ,1,CAS,
Biofuels Bioproducts & Biorefining-Biofpr,4,CAS,
Biofuels-UK,4,CAS,
BIOGEOCHEMISTRY,2,CAS,
Biogeosciences,2,CAS,
BIOGERONTOLOGY,3,CAS,
BIOGRAPHY-AN INTERDISCIPLINARY QUARTERLY,4,CAS,
BioImpacts,4,CAS,
Bioinformatics Advances,4,CAS,
Bioinformatics and Biology Insights,4,CAS,
BIOINFORMATICS,3,CAS,
BIOINORGANIC CHEMISTRY AND APPLICATIONS,4,CAS,
Bioinspiration & Biomimetics,3,CAS,
Bioinspired Biomimetic and Nanobiomaterials,4,CAS,
Biointerphases,4,CAS,
BioInvasions Records,3,CAS,
BioLaw Journal-Rivista di Biodiritto,4,CAS,
Biologia Futura,4,CAS,
BIOLOGIA PLANTARUM,4,CAS,
BIOLOGIA,4,CAS,
BIOLOGICAL & PHARMACEUTICAL BULLETIN,4,CAS,
BIOLOGICAL AGRICULTURE & HORTICULTURE,4,CAS,
BIOLOGICAL BULLETIN,3,CAS,
BIOLOGICAL CHEMISTRY,4,CAS,
BIOLOGICAL CONSERVATION,1,CAS,
BIOLOGICAL CONTROL,2,CAS,
BIOLOGICAL CYBERNETICS,4,CAS,
BIOLOGICAL INVASIONS,2,CAS,
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,3,CAS,
BIOLOGICAL PROCEDURES ONLINE,3,CAS,
Biological Psychiatry-Cognitive Neuroscience and Neuroimaging,2,CAS,
Biological Psychiatry,1,CAS,
Biological Psychiatry: Global Open Science,2,CAS,
BIOLOGICAL PSYCHOLOGY,3,CAS,
Biological Research for Nursing,4,CAS,
BIOLOGICAL RESEARCH,2,CAS,
BIOLOGICAL REVIEWS,1,CAS,
BIOLOGICAL RHYTHM RESEARCH,4,CAS,
Biological Theory,2,CAS,
BIOLOGICAL TRACE ELEMENT RESEARCH,3,CAS,
BIOLOGICALS,4,CAS,
BIOLOGICHESKIE MEMBRANY,4,CAS,
Biologics-Targets & Therapy,3,CAS,
BIOLOGY & PHILOSOPHY,3,CAS,
BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,4,CAS,
BIOLOGY AND FERTILITY OF SOILS,2,CAS,
BIOLOGY BULLETIN,4,CAS,
Biology Direct,2,CAS,
Biology Letters,2,CAS,
Biology Methods & Protocols,4,CAS,
BIOLOGY OF REPRODUCTION,2,CAS,
Biology of Sex Differences,2,CAS,
BIOLOGY OF SPORT,2,CAS,
BIOLOGY OF THE CELL,4,CAS,
Biology Open,4,CAS,
Biology-Basel,2,CAS,
BIOMACROMOLECULES,1,CAS,
Biomarker Insights,3,CAS,
Biomarker Research,2,CAS,
Biomarkers in Medicine,4,CAS,
BIOMARKERS,4,CAS,
BIOMASS & BIOENERGY,2,CAS,
Biomass Conversion and Biorefinery,4,CAS,
Biomaterials Advances,2,CAS,
Biomaterials Research,2,CAS,
Biomaterials Science,3,CAS,
BIOMATERIALS,1,CAS,
Biomechanics and Modeling in Mechanobiology,3,CAS,
Biomed Research International,4,CAS,
Biomedica,4,CAS,
Biomedical and Biotechnology Research Journal,4,CAS,
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,4,CAS,
BIOMEDICAL CHROMATOGRAPHY,4,CAS,
Biomedical Engineering Letters,4,CAS,
Biomedical Engineering Online,4,CAS,
BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS,4,CAS,
Biomedical Engineering-Biomedizinische Technik,4,CAS,
BIOMEDICAL ENGINEERING-MEDITSINSKAYA TEKNIKA,4,CAS,
Biomedical Human Kinetics,4,CAS,
Biomedical Journal,3,CAS,
Biomedical Materials,4,CAS,
BIOMEDICAL MICRODEVICES,4,CAS,
